id,admin0_nom,admin1_nom,admin2_nom,Admin3_Nam,annee,homme,femme,source
188,Mali,Koulikouro,Kati,Diedougou,2009,5140,5372,RGPH
189,Mali,Koulikouro,Kati,Dio Gare,2009,6219,6523,RGPH
190,Mali,Koulikouro,Kati,Dogodouman,2009,5909,5875,RGPH
191,Mali,Koulikouro,Kati,Dombila,2009,6561,6891,RGPH
192,Mali,Koulikouro,Kati,Doubabougou,2009,4869,4986,RGPH
193,Mali,Koulikouro,Kati,Kalabancoro,2009,81018,80864,RGPH
194,Mali,Koulikouro,Kati,Kalifabougou,2009,5587,6034,RGPH
195,Mali,Koulikouro,Kati,Kambila,2009,7599,7766,RGPH
196,Mali,Koulikouro,Kati,Kati Commune,2009,41982,42518,RGPH
197,Mali,Koulikouro,Kati,Kourouba,2009,2885,2944,RGPH
198,Mali,Koulikouro,Kati,Mande,2009,28734,28615,RGPH
199,Mali,Koulikouro,Kati,Moribabougou,2009,13457,13602,RGPH
200,Mali,Koulikouro,Kati,Mountougoula,2009,7996,8232,RGPH
201,Mali,Koulikouro,Kati,N'gabacoro,2009,9254,9009,RGPH
202,Mali,Koulikouro,Kati,N'gouraba,2009,8842,8853,RGPH
203,Mali,Koulikouro,Kati,Niagadina,2009,5056,5386,RGPH
204,Mali,Koulikouro,Kati,Nioumakana,2009,4075,4351,RGPH
205,Mali,Koulikouro,Kati,N'tjiba,2009,10653,11139,RGPH
206,Mali,Koulikouro,Kati,Ouelessebougou,2009,24694,25345,RGPH
207,Mali,Koulikouro,Kati,Safo,2009,7443,7238,RGPH
208,Mali,Koulikouro,Kati,Sanankoro Djitoumou,2009,6594,6733,RGPH
209,Mali,Koulikouro,Kati,Sanankoroba,2009,18718,18643,RGPH
210,Mali,Koulikouro,Kati,Sangarebougou,2009,24021,23171,RGPH
211,Mali,Koulikouro,Kati,Siby,2009,12140,12115,RGPH
212,Mali,Koulikouro,Kati,Sobra,2009,4817,4987,RGPH
213,Mali,Koulikouro,Kati,Tiakadougou Dialakoro,2009,3819,3879,RGPH
214,Mali,Koulikouro,Kati,Tiele,2009,9088,9406,RGPH
215,Mali,Koulikouro,Kati,Yelekebougou,2009,6228,6552,RGPH
216,Mali,Koulikouro,Banamba,Ben Kadi,2009,4554,4518,RGPH
217,Mali,Koulikouro,Kolokani,Didieni,2009,16145,16949,RGPH
218,Mali,Koulikouro,Kolokani,Guihoyo,2009,10536,10995,RGPH
219,Mali,Koulikouro,Kolokani,Kolokani,2009,21592,22628,RGPH
220,Mali,Koulikouro,Kolokani,Massantola,2009,17380,17983,RGPH
221,Mali,Koulikouro,Kolokani,Nonkon,2009,8834,9297,RGPH
222,Mali,Koulikouro,Kolokani,Nossombougou,2009,10105,10640,RGPH
223,Mali,Koulikouro,Kolokani,Ouolodo,2009,4923,5039,RGPH
224,Mali,Koulikouro,Kolokani,Sagabala,2009,8616,9091,RGPH
225,Mali,Koulikouro,Kolokani,Sebecoro 1,2009,9322,9723,RGPH
226,Mali,Koulikouro,Kolokani,Tioribougou,2009,6203,6499,RGPH
227,Mali,Koulikouro,Nara,Allahina,2009,5574,6018,RGPH
228,Mali,Koulikouro,Nara,Dabo,2009,5531,6093,RGPH
229,Mali,Koulikouro,Nara,Dilly,2009,19296,19153,RGPH
230,Mali,Koulikouro,Nara,Dogofry,2009,16892,17763,RGPH
231,Mali,Koulikouro,Nara,Fallou,2009,14841,15194,RGPH
232,Mali,Koulikouro,Nara,Gueneibe,2009,4421,4330,RGPH
233,Mali,Koulikouro,Nara,Guire,2009,10037,9838,RGPH
234,Mali,Koulikouro,Nara,Koronga,2009,5535,5476,RGPH
235,Mali,Koulikouro,Nara,Nara,2009,14581,15021,RGPH
236,Mali,Koulikouro,Nara,Niamana,2009,13830,14250,RGPH
237,Mali,Koulikouro,Nara,Ouagadou,2009,8902,9328,RGPH
238,Mali,Sikasso,Kadiolo,Diou,2009,1744,1760,RGPH
239,Mali,Sikasso,Kadiolo,Dioumatene,2009,4497,4645,RGPH
240,Mali,Sikasso,Kadiolo,Fourou,2009,21937,19606,RGPH
241,Mali,Sikasso,Kadiolo,Kadiolo,2009,25394,26622,RGPH
242,Mali,Sikasso,Kadiolo,Kai,2009,3839,4346,RGPH
243,Mali,Sikasso,Kadiolo,Loulouni,2009,19863,21223,RGPH
244,Mali,Sikasso,Kadiolo,Misseni,2009,28443,19230,RGPH
245,Mali,Sikasso,Kadiolo,Nimbougou,2009,4001,4422,RGPH
246,Mali,Sikasso,Kadiolo,Zegoua,2009,16480,16638,RGPH
247,Mali,Sikasso,Yorosso,Boura,2009,11055,11160,RGPH
248,Mali,Sikasso,Yorosso,Karangana,2009,8225,8793,RGPH
249,Mali,Sikasso,Yorosso,Kiffosso 1,2009,9496,9942,RGPH
250,Mali,Sikasso,Yorosso,Koumbia,2009,12625,12810,RGPH
251,Mali,Sikasso,Yorosso,Koury,2009,26842,27448,RGPH
252,Mali,Sikasso,Yorosso,Mahou,2009,8191,8056,RGPH
253,Mali,Sikasso,Yorosso,Menamba 1,2009,5231,5290,RGPH
254,Mali,Sikasso,Yorosso,Ourikela,2009,11657,12177,RGPH
255,Mali,Sikasso,Yorosso,Yorosso,2009,11138,11470,RGPH
256,Mali,Sikasso,Kolondieba,Bougoula,2009,3054,3227,RGPH
257,Mali,Sikasso,Kolondieba,Fakola,2009,13955,14485,RGPH
258,Mali,Sikasso,Kolondieba,Farako,2009,7363,7410,RGPH
259,Mali,Sikasso,Kolondieba,Kadiana,2009,9692,10153,RGPH
260,Mali,Sikasso,Kolondieba,Kebila,2009,15661,17429,RGPH
261,Mali,Sikasso,Kolondieba,Kolondieba,2009,25976,27404,RGPH
262,Mali,Sikasso,Kolondieba,Kolosso,2009,3120,3080,RGPH
263,Mali,Sikasso,Kolondieba,Mena,2009,2950,3207,RGPH
264,Mali,Sikasso,Kolondieba,Nangalasso,2009,3254,3618,RGPH
265,Mali,Sikasso,Kolondieba,N'golodiana,2009,5654,6030,RGPH
266,Mali,Sikasso,Kolondieba,Tiongui,2009,4420,4773,RGPH
267,Mali,Sikasso,Kolondieba,Tousseguela,2009,2717,2830,RGPH
268,Mali,Sikasso,Yanfolila,Baya,2009,12152,12312,RGPH
269,Mali,Sikasso,Yanfolila,Bolo-Fouta,2009,2164,2264,RGPH
270,Mali,Sikasso,Bougouni,Syen Toula,2009,4694,4761,RGPH
271,Mali,Sikasso,Yanfolila,Djallon-Foula,2009,5596,5601,RGPH
272,Mali,Sikasso,Yanfolila,Djiguiya De Koloni,2009,3398,3466,RGPH
273,Mali,Sikasso,Yanfolila,Gouanan,2009,6576,6852,RGPH
