id,admin0_nom,admin1_nom,admin2_nom,admin3_nom,homme_1998,homme_2009,femme_1998,femme_2009,source
247,Mali,Sikasso,Yorosso,Boura,7416,11055,7430,11160,RGPH
248,Mali,Sikasso,Yorosso,Karangana,6352,8225,6523,8793,RGPH
249,Mali,Sikasso,Yorosso,Kiffosso 1,7577,9496,7925,9942,RGPH
250,Mali,Sikasso,Yorosso,Koumbia,7713,12625,7561,12810,RGPH
251,Mali,Sikasso,Yorosso,Koury,16748,26842,16857,27448,RGPH
252,Mali,Sikasso,Yorosso,Mahou,5978,8191,5947,8056,RGPH
253,Mali,Sikasso,Yorosso,Menamba 1,3332,5231,3507,5290,RGPH
254,Mali,Sikasso,Yorosso,Ourikela,8169,11657,8187,12177,RGPH
255,Mali,Sikasso,Yorosso,Yorosso,6886,11138,6913,11470,RGPH
256,Mali,Sikasso,Kolondieba,Bougoula,1736,3054,1980,3227,RGPH
257,Mali,Sikasso,Kolondieba,Fakola,6933,13955,7735,14485,RGPH
258,Mali,Sikasso,Kolondieba,Farako,4964,7363,5406,7410,RGPH
259,Mali,Sikasso,Kolondieba,Kadiana,7650,9692,8095,10153,RGPH
260,Mali,Sikasso,Kolondieba,Kebila,11846,15661,12950,17429,RGPH
261,Mali,Sikasso,Kolondieba,Kolondieba,18259,25976,19686,27404,RGPH
262,Mali,Sikasso,Kolondieba,Kolosso,2743,3120,2648,3080,RGPH
263,Mali,Sikasso,Kolondieba,Mena,2424,2950,2579,3207,RGPH
264,Mali,Sikasso,Kolondieba,Nangalasso,4207,3254,4422,3618,RGPH
265,Mali,Sikasso,Kolondieba,N'golodiana,2526,5654,2859,6030,RGPH
266,Mali,Sikasso,Kolondieba,Tiongui,3240,4420,3333,4773,RGPH
267,Mali,Sikasso,Kolondieba,Tousseguela,1803,2717,1837,2830,RGPH
268,Mali,Sikasso,Yanfolila,Baya,7222,12152,7240,12312,RGPH
269,Mali,Sikasso,Yanfolila,Bolo-Fouta,1748,2164,1813,2264,RGPH
270,Mali,Sikasso,Bougouni,Syen Toula,3337,4694,3431,4761,RGPH
271,Mali,Sikasso,Yanfolila,Djallon-Foula,4961,5596,5213,5601,RGPH
272,Mali,Sikasso,Yanfolila,Djiguiya De Koloni,2195,3398,2362,3466,RGPH
273,Mali,Sikasso,Yanfolila,Gouanan,9647,6576,9543,6852,RGPH
274,Mali,Sikasso,Yanfolila,Gouandiaka,4019,12297,3918,12822,RGPH
275,Mali,Sikasso,Yanfolila,Koussan,3711,5118,3823,5073,RGPH
276,Mali,Sikasso,Yanfolila,Sankarani,3996,3660,4052,3903,RGPH
277,Mali,Sikasso,Yanfolila,Sere Moussa Ani Samo,8119,9320,8039,9464,RGPH
