source,adm0_pcode,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,homme,femme
RGPH,ML,Mali,ML03,Sikasso,ML0302,Kadiolo,ML030204,Kadiolo,25394,26622
RGPH,ML,Mali,ML03,Sikasso,ML0302,Kadiolo,ML030205,Kai,3839,4346
RGPH,ML,Mali,ML03,Sikasso,ML0302,Kadiolo,ML030206,Loulouni,19863,21223
RGPH,ML,Mali,ML03,Sikasso,ML0302,Kadiolo,ML030207,Misseni,28443,19230
RGPH,ML,Mali,ML03,Sikasso,ML0302,Kadiolo,ML030208,Nimbougou,4001,4422
RGPH,ML,Mali,ML03,Sikasso,ML0302,Kadiolo,ML030209,Zegoua,16480,16638
RGPH,ML,Mali,ML03,Sikasso,ML0307,Yorosso,ML030701,Boura,11055,11160
RGPH,ML,Mali,ML03,Sikasso,ML0307,Yorosso,ML030702,Karangana,8225,8793
RGPH,ML,Mali,ML03,Sikasso,ML0307,Yorosso,ML030703,Kiffosso 1,9496,9942
RGPH,ML,Mali,ML03,Sikasso,ML0307,Yorosso,ML030704,Koumbia,12625,12810
RGPH,ML,Mali,ML03,Sikasso,ML0307,Yorosso,ML030705,Koury,26842,27448
RGPH,ML,Mali,ML03,Sikasso,ML0307,Yorosso,ML030706,Mahou,8191,8056
RGPH,ML,Mali,ML03,Sikasso,ML0307,Yorosso,ML030707,Menamba 1,5231,5290
RGPH,ML,Mali,ML03,Sikasso,ML0307,Yorosso,ML030708,Ourikela,11657,12177
RGPH,ML,Mali,ML03,Sikasso,ML0307,Yorosso,ML030709,Yorosso,11138,11470
RGPH,ML,Mali,ML03,Sikasso,ML0303,Kolondieba,ML030301,Bougoula,3054,3227
RGPH,ML,Mali,ML03,Sikasso,ML0303,Kolondieba,ML030302,Fakola,13955,14485
RGPH,ML,Mali,ML03,Sikasso,ML0303,Kolondieba,ML030303,Farako,7363,7410
RGPH,ML,Mali,ML03,Sikasso,ML0303,Kolondieba,ML030304,Kadiana,9692,10153
RGPH,ML,Mali,ML03,Sikasso,ML0303,Kolondieba,ML030305,Kebila,15661,17429
RGPH,ML,Mali,ML03,Sikasso,ML0303,Kolondieba,ML030306,Kolondieba,25976,27404
RGPH,ML,Mali,ML03,Sikasso,ML0303,Kolondieba,ML030307,Kolosso,3120,3080
RGPH,ML,Mali,ML03,Sikasso,ML0303,Kolondieba,ML030308,Mena,2950,3207
RGPH,ML,Mali,ML03,Sikasso,ML0303,Kolondieba,ML030309,Nangalasso,3254,3618
RGPH,ML,Mali,ML03,Sikasso,ML0303,Kolondieba,ML030310,N'golodiana,5654,6030
RGPH,ML,Mali,ML03,Sikasso,ML0303,Kolondieba,ML030311,Tiongui,4420,4773
RGPH,ML,Mali,ML03,Sikasso,ML0303,Kolondieba,ML030312,Tousseguela,2717,2830
RGPH,ML,Mali,ML03,Sikasso,ML0306,Yanfolila,ML030601,Baya,12152,12312
RGPH,ML,Mali,ML03,Sikasso,ML0306,Yanfolila,ML030602,Bolo-Fouta,2164,2264
RGPH,ML,Mali,ML03,Sikasso,ML0301,Bougouni,ML030121,Syen Toula,4694,4761
RGPH,ML,Mali,ML03,Sikasso,ML0306,Yanfolila,ML030603,Djallon-Foula,5596,5601
RGPH,ML,Mali,ML03,Sikasso,ML0306,Yanfolila,ML030604,Djiguiya De Koloni,3398,3466
RGPH,ML,Mali,ML03,Sikasso,ML0306,Yanfolila,ML030605,Gouanan,6576,6852
RGPH,ML,Mali,ML03,Sikasso,ML0306,Yanfolila,ML030606,Gouandiaka,12297,12822
RGPH,ML,Mali,ML03,Sikasso,ML0306,Yanfolila,ML030607,Koussan,5118,5073
