Admin0_Nam,Pcode_Ad_0,Admin1_Nam,Pcode_Ad_1,Admin2_Nam,Pcode_Ad_2,Admin3_Nam,Pcode_Ad_3,annee,homme,femme,total,source
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Banamba,ML020101,2009,15851,16029,31880,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Boron,ML020103,2009,18898,19208,38106,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Duguwolowula,ML020104,2009,21658,21368,43026,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Kiban,ML020105,2009,6194,6195,12389,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Madina Sacko,ML020106,2009,12924,13219,26143,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Sebete,ML020107,2009,2015,2045,4060,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Toubacoro,ML020108,2009,7118,7256,14374,RGPH
Mali,ML,Koulikouro,ML02,Banamba,ML0201,Toukoroba,ML020109,2009,5892,6063,11955,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Banco,ML020201,2009,16039,16940,32979,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Benkadi,ML020202,2009,3811,4088,7899,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Binko,ML020203,2009,9849,10048,19897,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Degnekoro,ML020204,2009,4883,5199,10082,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Diebe,ML020205,2009,4129,4575,8704,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Diedougou,ML020206,2009,17541,18351,35892,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Diouman,ML020207,2009,8003,8277,16280,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Dolendougou,ML020208,2009,6831,7389,14220,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Guegneka,ML020209,2009,23949,24092,48041,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Jekafo,ML020210,2009,3241,3400,6641,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Kaladougou,ML020211,2009,19429,19742,39171,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Kemekafo,ML020212,2009,12253,12181,24434,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Kerela,ML020213,2009,6280,6346,12626,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Kilidougou,ML020214,2009,7578,7930,15508,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Massigui,ML020215,2009,26249,28003,54252,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Nangola,ML020216,2009,9169,9436,18605,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,N'dlondougou,ML020217,2009,10326,10667,20993,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,N'garadougou,ML020218,2009,7633,7960,15593,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,N'golobougou,ML020219,2009,10272,10753,21025,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Niantjila,ML020220,2009,6837,7466,14303,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Tenindougou,ML020221,2009,7681,7725,15406,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Wacoro,ML020222,2009,7441,7559,15e3,RGPH
Mali,ML,Koulikouro,ML02,Dioila,ML0202,Zan Coulibaly,ML020223,2009,9235,9255,18490,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Balan Bakama,ML020301,2009,3404,3487,6891,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Benkadi,ML020302,2009,4741,4694,9435,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Kaniogo,ML020303,2009,8308,8477,16785,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Karan Commune,ML020304,2009,3134,3242,6376,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Maramandougou,ML020305,2009,7237,7302,14539,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Minidian,ML020306,2009,9012,9113,18125,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Narena,ML020307,2009,6133,6420,12553,RGPH
Mali,ML,Koulikouro,ML02,Kangaba,ML0203,Nouga,ML020308,2009,5429,5628,11057,RGPH
